Date,Positive_Reviews,Negative_Reviews
2023-02-01,2819,3350
2023-03-01,706,782
2023-04-01,216,320
2023-05-01,152,99
2023-06-01,51,43
2023-07-01,101,87
2023-08-01,54,39
2023-09-01,47,46
2023-10-01,20,32
2023-11-01,72,39
2023-12-01,61,41
2024-01-01,43,31
2024-02-01,36,30
2024-03-01,36,25
2024-04-01,12,15
2024-05-01,25,36
2024-06-01,17,10
2024-07-01,28,15
2024-08-01,38,25
2024-09-01,15,24
2024-10-01,18,16
2024-11-01,38,39
2024-12-01,39,54
2025-01-01,36,35
2025-02-01,51,69
2025-03-01,44,68
2025-04-01,24,17
2025-05-01,32,58
2025-06-01,26,37
2025-07-01,27,28
2025-08-01,26,40
2025-09-01,60,85
2025-10-01,23,29
2025-11-01,20,38
2025-12-01,26,27
2026-01-01,21,35
2026-02-01,44,51
2026-03-01,27,23
2026-04-01,8,7
