Date,Price
2024-04-29,1224
2024-05-13,3499
2024-06-27,1049
2024-07-11,3499
2024-08-05,1049
2024-08-19,3499
2024-09-19,1049
2024-09-26,3499
2024-10-28,874
2024-11-11,3499
2024-11-28,874
2024-12-05,3499
2024-12-20,699
2025-01-03,3499
2025-01-27,524
2025-02-10,3499
2025-03-13,524
2025-03-27,3499
2025-05-01,524
2025-05-15,3499
2025-06-19,524
2025-07-10,3499
2025-07-28,524
2025-08-11,3499
2025-09-11,349
2025-09-25,3499
2025-09-29,349
2025-10-06,3499
2025-11-20,349
2025-12-04,3499
2025-12-19,349
2026-01-05,3499
2026-01-27,244
2026-02-10,3499
2026-03-12,349
2026-03-26,3499
2026-04-15,3499
