Date,Price
2024-04-25,2775
2024-05-09,3700
2024-06-27,2405
2024-07-11,3700
2024-07-22,2405
2024-08-05,3700
2024-08-20,2800
2024-09-23,1820
2024-10-07,2800
2024-11-13,1820
2024-12-05,2800
2024-12-20,1820
2025-01-03,2800
2025-01-23,1820
2025-02-06,2800
2025-03-13,1820
2025-03-20,2800
2025-04-10,1820
2025-04-24,2800
2025-06-09,1680
2025-06-23,2800
2025-06-27,1680
2025-07-10,2800
2025-09-15,1680
2025-10-06,2800
2025-11-17,1680
2025-12-01,2800
2025-12-18,1680
2026-01-05,2800
2026-02-09,1680
2026-02-23,2800
2026-03-19,1680
2026-03-26,2800
2026-04-15,2800
