Date,Positive_Reviews,Negative_Reviews,Top_Tags
2021-11-01,21612,40065,FPS|Multiplayer|Shooter|Military|War
2021-12-01,7119,14760,FPS|Multiplayer|Shooter|Military|War
2022-01-01,2209,8134,FPS|Multiplayer|Shooter|Military|War
2022-02-01,824,5691,FPS|Multiplayer|Shooter|Military|War
2022-03-01,572,2520,FPS|Multiplayer|Shooter|Military|War
2022-04-01,445,1788,FPS|Multiplayer|Shooter|Military|War
2022-05-01,380,1079,FPS|Multiplayer|Shooter|Military|War
2022-06-01,1548,2402,FPS|Multiplayer|Shooter|Military|War
2022-07-01,1409,1270,FPS|Multiplayer|Shooter|Military|War
2022-08-01,1065,1061,FPS|Multiplayer|Shooter|Military|War
2022-09-01,1731,1463,FPS|Multiplayer|Shooter|Military|War
2022-10-01,1072,1351,FPS|Multiplayer|Shooter|Military|War
2022-11-01,2151,1535,FPS|Multiplayer|Shooter|Military|War
2022-12-01,3545,2025,FPS|Multiplayer|Shooter|Military|War
2023-01-01,2176,1573,FPS|Multiplayer|Shooter|Military|War
2023-02-01,1698,1213,FPS|Multiplayer|Shooter|Military|War
2023-03-01,3455,2597,FPS|Multiplayer|Shooter|Military|War
2023-04-01,1528,906,FPS|Multiplayer|Shooter|Military|War
2023-05-01,2358,1554,FPS|Multiplayer|Shooter|Military|War
2023-06-01,1721,1364,FPS|Multiplayer|Shooter|Military|War
2023-07-01,2468,1637,FPS|Multiplayer|Shooter|Military|War
2023-08-01,1807,1071,FPS|Multiplayer|Shooter|Military|War
2023-09-01,1020,736,FPS|Multiplayer|Shooter|Military|War
2023-10-01,9799,7330,FPS|Multiplayer|Shooter|Military|War
2023-11-01,6926,3558,FPS|Multiplayer|Shooter|Military|War
2023-12-01,3075,1727,FPS|Multiplayer|Shooter|Military|War
2024-01-01,2019,1149,FPS|Multiplayer|Shooter|Military|War
2024-02-01,2136,1147,FPS|Multiplayer|Shooter|Military|War
2024-03-01,3116,2251,FPS|Multiplayer|Shooter|Military|War
2024-04-01,1679,1338,FPS|Multiplayer|Shooter|Military|War
2024-05-01,2150,1591,FPS|Multiplayer|Shooter|Military|War
2024-06-01,1424,1091,FPS|Multiplayer|Shooter|Military|War
2024-07-01,3197,1962,FPS|Multiplayer|Shooter|Military|War
2024-08-01,1897,1210,FPS|Multiplayer|Shooter|Military|War
2024-09-01,1271,851,FPS|Multiplayer|Shooter|Military|War
2024-10-01,1257,778,FPS|Multiplayer|Shooter|Military|War
2024-11-01,4387,1955,FPS|Multiplayer|Shooter|Military|War
2024-12-01,2886,1236,FPS|Multiplayer|Shooter|Military|War
2025-01-01,1461,808,FPS|Multiplayer|Shooter|Military|War
2025-02-01,1171,683,FPS|Multiplayer|Shooter|Military|War
2025-03-01,1438,806,FPS|Multiplayer|Shooter|Military|War
2025-04-01,841,379,FPS|Multiplayer|Shooter|Military|War
2025-05-01,1361,1302,FPS|Multiplayer|Shooter|Military|War
2025-06-01,1014,2240,FPS|Multiplayer|Shooter|Military|War
2025-07-01,1358,1999,FPS|Multiplayer|Shooter|Military|War
2025-08-01,4249,5556,FPS|Multiplayer|Shooter|Military|War
2025-09-01,2230,2422,FPS|Multiplayer|Shooter|Military|War
2025-10-01,1254,843,FPS|Multiplayer|Shooter|Military|War
2025-11-01,1147,316,FPS|Multiplayer|Shooter|Military|War
2025-12-01,362,151,FPS|Multiplayer|Shooter|Military|War
2026-01-01,309,161,FPS|Multiplayer|Shooter|Military|War
2026-02-01,251,147,FPS|Multiplayer|Shooter|Military|War
2026-03-01,785,508,FPS|Multiplayer|Shooter|Military|War
2026-04-01,244,99,FPS|Multiplayer|Shooter|Military|War
