Date,Positive_Reviews,Negative_Reviews,Top_Tags
2018-01-01,381,5,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2018-02-01,659,15,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2018-03-01,392,9,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2018-04-01,267,4,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2018-05-01,170,4,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2018-06-01,264,11,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2018-07-01,432,9,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2018-08-01,151,4,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2018-09-01,100,2,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2018-10-01,103,3,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2018-11-01,1009,6,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2018-12-01,565,28,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2019-01-01,781,33,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2019-02-01,411,15,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2019-03-01,258,9,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2019-04-01,270,8,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2019-05-01,173,5,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2019-06-01,1057,19,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2019-07-01,1062,31,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2019-08-01,199,8,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2019-09-01,421,18,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2019-10-01,399,8,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2019-11-01,1562,22,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2019-12-01,1442,24,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2020-01-01,1122,25,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2020-02-01,937,15,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2020-03-01,1935,39,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2020-04-01,1039,27,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2020-05-01,819,14,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2020-06-01,1121,30,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2020-07-01,1300,28,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2020-08-01,717,11,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2020-09-01,550,11,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2020-10-01,539,9,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2020-11-01,1348,36,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2020-12-01,2294,46,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2021-01-01,2008,39,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2021-02-01,1582,41,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2021-03-01,1086,22,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2021-04-01,813,25,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2021-05-01,725,15,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2021-06-01,1147,27,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2021-07-01,1929,50,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2021-08-01,1035,29,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2021-09-01,774,11,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2021-10-01,853,23,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2021-11-01,1871,38,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2021-12-01,2237,66,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2022-01-01,1937,53,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2022-02-01,1367,38,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2022-03-01,964,28,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2022-04-01,858,23,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2022-05-01,788,24,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2022-06-01,1298,37,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2022-07-01,1958,62,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2022-08-01,1627,52,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
2022-09-01,1095,30,Precision Platformer|Difficult|Pixel Graphics|Great Soundtrack|Indie
