Date,Positive_Reviews,Negative_Reviews,Top_Tags
2022-02-01,48485,12236,Open World|Co-op|Zombies|Parkour|Multiplayer
2022-03-01,5821,2089,Open World|Co-op|Zombies|Parkour|Multiplayer
2022-04-01,2014,801,Open World|Co-op|Zombies|Parkour|Multiplayer
2022-05-01,2132,734,Open World|Co-op|Zombies|Parkour|Multiplayer
2022-06-01,1702,631,Open World|Co-op|Zombies|Parkour|Multiplayer
2022-07-01,2239,715,Open World|Co-op|Zombies|Parkour|Multiplayer
2022-08-01,1665,561,Open World|Co-op|Zombies|Parkour|Multiplayer
2022-09-01,1635,617,Open World|Co-op|Zombies|Parkour|Multiplayer
2022-10-01,939,304,Open World|Co-op|Zombies|Parkour|Multiplayer
2022-11-01,7605,918,Open World|Co-op|Zombies|Parkour|Multiplayer
2022-12-01,2227,883,Open World|Co-op|Zombies|Parkour|Multiplayer
2023-01-01,2135,731,Open World|Co-op|Zombies|Parkour|Multiplayer
2023-02-01,3201,957,Open World|Co-op|Zombies|Parkour|Multiplayer
2023-03-01,1529,494,Open World|Co-op|Zombies|Parkour|Multiplayer
2023-04-01,1985,628,Open World|Co-op|Zombies|Parkour|Multiplayer
2023-05-01,1728,441,Open World|Co-op|Zombies|Parkour|Multiplayer
2023-06-01,1409,394,Open World|Co-op|Zombies|Parkour|Multiplayer
2023-07-01,2550,540,Open World|Co-op|Zombies|Parkour|Multiplayer
2023-08-01,1308,379,Open World|Co-op|Zombies|Parkour|Multiplayer
2023-09-01,1115,1465,Open World|Co-op|Zombies|Parkour|Multiplayer
2023-10-01,928,267,Open World|Co-op|Zombies|Parkour|Multiplayer
2023-11-01,2503,309,Open World|Co-op|Zombies|Parkour|Multiplayer
2023-12-01,1165,297,Open World|Co-op|Zombies|Parkour|Multiplayer
2024-01-01,1190,307,Open World|Co-op|Zombies|Parkour|Multiplayer
2024-02-01,1685,522,Open World|Co-op|Zombies|Parkour|Multiplayer
2024-03-01,1955,576,Open World|Co-op|Zombies|Parkour|Multiplayer
2024-04-01,930,289,Open World|Co-op|Zombies|Parkour|Multiplayer
2024-05-01,904,312,Open World|Co-op|Zombies|Parkour|Multiplayer
2024-06-01,839,270,Open World|Co-op|Zombies|Parkour|Multiplayer
2024-07-01,1392,451,Open World|Co-op|Zombies|Parkour|Multiplayer
2024-08-01,1225,405,Open World|Co-op|Zombies|Parkour|Multiplayer
2024-09-01,1057,358,Open World|Co-op|Zombies|Parkour|Multiplayer
2024-10-01,726,248,Open World|Co-op|Zombies|Parkour|Multiplayer
2024-11-01,2028,345,Open World|Co-op|Zombies|Parkour|Multiplayer
2024-12-01,1687,347,Open World|Co-op|Zombies|Parkour|Multiplayer
2025-01-01,1046,286,Open World|Co-op|Zombies|Parkour|Multiplayer
2025-02-01,3654,702,Open World|Co-op|Zombies|Parkour|Multiplayer
2025-03-01,1272,407,Open World|Co-op|Zombies|Parkour|Multiplayer
2025-04-01,1144,413,Open World|Co-op|Zombies|Parkour|Multiplayer
2025-05-01,991,339,Open World|Co-op|Zombies|Parkour|Multiplayer
2025-06-01,1749,685,Open World|Co-op|Zombies|Parkour|Multiplayer
2025-07-01,1262,426,Open World|Co-op|Zombies|Parkour|Multiplayer
2025-08-01,1067,372,Open World|Co-op|Zombies|Parkour|Multiplayer
2025-09-01,1247,394,Open World|Co-op|Zombies|Parkour|Multiplayer
2025-10-01,1400,342,Open World|Co-op|Zombies|Parkour|Multiplayer
2025-11-01,1848,265,Open World|Co-op|Zombies|Parkour|Multiplayer
2025-12-01,890,245,Open World|Co-op|Zombies|Parkour|Multiplayer
2026-01-01,789,222,Open World|Co-op|Zombies|Parkour|Multiplayer
2026-02-01,813,248,Open World|Co-op|Zombies|Parkour|Multiplayer
2026-03-01,750,217,Open World|Co-op|Zombies|Parkour|Multiplayer
2026-04-01,578,156,Open World|Co-op|Zombies|Parkour|Multiplayer
