Date,Positive_Reviews,Negative_Reviews,Top_Tags
2015-11-01,13913,4063,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2015-12-01,3682,1043,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2016-01-01,2086,645,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2016-02-01,1551,497,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2016-03-01,1509,430,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2016-04-01,1002,287,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2016-05-01,978,386,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2016-06-01,1075,446,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2016-07-01,1015,505,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2016-08-01,1013,520,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2016-09-01,642,303,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2016-10-01,776,365,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2016-11-01,4031,403,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2016-12-01,1141,323,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2017-01-01,1025,310,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2017-02-01,806,242,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2017-03-01,554,148,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2017-04-01,451,116,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2017-05-01,961,295,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2017-06-01,1315,499,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2017-07-01,1129,314,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2017-08-01,868,1785,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2017-09-01,878,3829,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2017-10-01,1020,1714,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2017-11-01,3575,742,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2017-12-01,893,331,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2018-01-01,896,283,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2018-02-01,1084,401,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2018-03-01,566,188,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2018-04-01,450,148,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2018-05-01,501,181,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2018-06-01,883,325,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2018-07-01,741,247,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2018-08-01,646,208,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2018-09-01,444,124,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
2018-10-01,605,221,Open World|Post-apocalyptic|Singleplayer|Exploration|RPG
