Date,Positive_Reviews,Negative_Reviews,Top_Tags
2022-10-01,3869,1532,Action|Open World|Superhero|Online Co-Op|Singleplayer
2022-11-01,1535,575,Action|Open World|Superhero|Online Co-Op|Singleplayer
2022-12-01,660,390,Action|Open World|Superhero|Online Co-Op|Singleplayer
2023-01-01,421,359,Action|Open World|Superhero|Online Co-Op|Singleplayer
2023-02-01,238,195,Action|Open World|Superhero|Online Co-Op|Singleplayer
2023-03-01,235,120,Action|Open World|Superhero|Online Co-Op|Singleplayer
2023-04-01,112,58,Action|Open World|Superhero|Online Co-Op|Singleplayer
2023-05-01,87,41,Action|Open World|Superhero|Online Co-Op|Singleplayer
2023-06-01,217,112,Action|Open World|Superhero|Online Co-Op|Singleplayer
2023-07-01,338,132,Action|Open World|Superhero|Online Co-Op|Singleplayer
2023-08-01,102,46,Action|Open World|Superhero|Online Co-Op|Singleplayer
2023-09-01,70,31,Action|Open World|Superhero|Online Co-Op|Singleplayer
2023-10-01,244,150,Action|Open World|Superhero|Online Co-Op|Singleplayer
2023-11-01,261,109,Action|Open World|Superhero|Online Co-Op|Singleplayer
2023-12-01,251,113,Action|Open World|Superhero|Online Co-Op|Singleplayer
2024-01-01,213,111,Action|Open World|Superhero|Online Co-Op|Singleplayer
2024-02-01,224,119,Action|Open World|Superhero|Online Co-Op|Singleplayer
2024-03-01,167,118,Action|Open World|Superhero|Online Co-Op|Singleplayer
2024-04-01,77,45,Action|Open World|Superhero|Online Co-Op|Singleplayer
2024-05-01,93,45,Action|Open World|Superhero|Online Co-Op|Singleplayer
2024-06-01,85,51,Action|Open World|Superhero|Online Co-Op|Singleplayer
2024-07-01,102,44,Action|Open World|Superhero|Online Co-Op|Singleplayer
2024-08-01,59,29,Action|Open World|Superhero|Online Co-Op|Singleplayer
2024-09-01,106,29,Action|Open World|Superhero|Online Co-Op|Singleplayer
2024-10-01,75,39,Action|Open World|Superhero|Online Co-Op|Singleplayer
2024-11-01,91,42,Action|Open World|Superhero|Online Co-Op|Singleplayer
2024-12-01,138,56,Action|Open World|Superhero|Online Co-Op|Singleplayer
2025-01-01,104,40,Action|Open World|Superhero|Online Co-Op|Singleplayer
2025-02-01,88,40,Action|Open World|Superhero|Online Co-Op|Singleplayer
2025-03-01,101,31,Action|Open World|Superhero|Online Co-Op|Singleplayer
2025-04-01,29,20,Action|Open World|Superhero|Online Co-Op|Singleplayer
2025-05-01,28,18,Action|Open World|Superhero|Online Co-Op|Singleplayer
2025-06-01,64,20,Action|Open World|Superhero|Online Co-Op|Singleplayer
2025-07-01,96,35,Action|Open World|Superhero|Online Co-Op|Singleplayer
2025-08-01,50,37,Action|Open World|Superhero|Online Co-Op|Singleplayer
2025-09-01,31,23,Action|Open World|Superhero|Online Co-Op|Singleplayer
2025-10-01,81,39,Action|Open World|Superhero|Online Co-Op|Singleplayer
2025-11-01,57,24,Action|Open World|Superhero|Online Co-Op|Singleplayer
2025-12-01,86,24,Action|Open World|Superhero|Online Co-Op|Singleplayer
2026-01-01,99,38,Action|Open World|Superhero|Online Co-Op|Singleplayer
2026-02-01,60,21,Action|Open World|Superhero|Online Co-Op|Singleplayer
2026-03-01,84,32,Action|Open World|Superhero|Online Co-Op|Singleplayer
2026-04-01,14,11,Action|Open World|Superhero|Online Co-Op|Singleplayer
