Date,Positive_Reviews,Negative_Reviews,Top_Tags
2024-05-06,23747,1390,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-05-13,7323,578,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-05-20,2821,176,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-05-27,1642,111,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-06-03,1386,77,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-06-10,846,69,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-06-17,599,46,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-06-24,709,39,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-07-01,500,33,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-07-08,372,20,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-07-15,431,21,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-07-22,325,14,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-07-29,278,18,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-08-05,221,20,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-08-12,219,15,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-08-19,199,12,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-08-26,182,13,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-09-02,189,11,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-09-09,153,14,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-09-16,140,16,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-09-23,139,17,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-09-30,139,23,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-10-07,115,13,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-10-14,602,93,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-10-21,611,72,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-10-28,312,39,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-11-04,284,17,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-11-11,460,27,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-11-18,339,18,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-11-25,5153,47,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-12-02,1364,26,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-12-09,185,11,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-12-16,213,15,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-12-23,517,17,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2024-12-30,535,28,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2025-01-06,203,20,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2025-01-13,179,5,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2025-01-20,144,14,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2025-01-27,155,12,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2025-02-03,124,16,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2025-02-10,120,12,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2025-02-17,574,56,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2025-02-24,535,56,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2025-03-03,329,26,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2025-03-10,339,14,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
2025-03-17,297,10,Action|Rogue-like|Rogue-lite|Hack and Slash|RPG
