Date,Positive_Reviews,Negative_Reviews,Top_Tags
2021-10-01,13185,594,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2021-11-01,15315,411,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2021-12-01,12677,396,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2022-01-01,11137,316,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2022-02-01,4047,127,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2022-03-01,2976,95,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2022-04-01,1703,59,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2022-05-01,2577,109,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2022-06-01,1675,55,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2022-07-01,2204,75,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2022-08-01,1539,49,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2022-09-01,1047,29,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2022-10-01,1256,47,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2022-11-01,2732,111,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2022-12-01,2005,81,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2023-01-01,1865,84,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2023-02-01,953,37,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2023-03-01,1333,46,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2023-04-01,1127,59,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2023-05-01,1685,65,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2023-06-01,1210,50,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2023-07-01,2049,88,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2023-08-01,1375,68,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2023-09-01,956,40,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2023-10-01,1584,69,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2023-11-01,2250,88,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2023-12-01,2004,100,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2024-01-01,2337,90,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2024-02-01,1199,39,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2024-03-01,1773,69,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2024-04-01,1500,71,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2024-05-01,1590,59,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2024-06-01,1116,58,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2024-07-01,2332,120,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2024-08-01,1704,73,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2024-09-01,1672,75,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2024-10-01,1227,68,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2024-11-01,1780,74,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2024-12-01,1749,74,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2025-01-01,1564,51,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2025-02-01,952,51,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2025-03-01,1239,54,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2025-04-01,1059,35,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2025-05-01,775,39,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2025-06-01,1262,61,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2025-07-01,1247,51,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2025-08-01,838,31,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2025-09-01,874,44,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2025-10-01,1081,44,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2025-11-01,915,28,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2025-12-01,1619,65,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2026-01-01,1123,52,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2026-02-01,1076,48,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2026-03-01,705,44,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
2026-04-01,362,15,Card Battler|Card Game|Story Rich|Deckbuilding|Horror
