Date,Positive_Reviews,Negative_Reviews,Top_Tags
2023-09-01,5017,1590,Fighting|Action|Gore|Multiplayer|2D Fighter
2023-10-01,2329,927,Fighting|Action|Gore|Multiplayer|2D Fighter
2023-11-01,2386,670,Fighting|Action|Gore|Multiplayer|2D Fighter
2023-12-01,1142,427,Fighting|Action|Gore|Multiplayer|2D Fighter
2024-01-01,837,338,Fighting|Action|Gore|Multiplayer|2D Fighter
2024-02-01,280,261,Fighting|Action|Gore|Multiplayer|2D Fighter
2024-03-01,407,285,Fighting|Action|Gore|Multiplayer|2D Fighter
2024-04-01,253,156,Fighting|Action|Gore|Multiplayer|2D Fighter
2024-05-01,261,140,Fighting|Action|Gore|Multiplayer|2D Fighter
2024-06-01,469,216,Fighting|Action|Gore|Multiplayer|2D Fighter
2024-07-01,667,319,Fighting|Action|Gore|Multiplayer|2D Fighter
2024-08-01,302,217,Fighting|Action|Gore|Multiplayer|2D Fighter
2024-09-01,272,228,Fighting|Action|Gore|Multiplayer|2D Fighter
2024-10-01,313,180,Fighting|Action|Gore|Multiplayer|2D Fighter
2024-11-01,503,162,Fighting|Action|Gore|Multiplayer|2D Fighter
2024-12-01,597,191,Fighting|Action|Gore|Multiplayer|2D Fighter
2025-01-01,348,113,Fighting|Action|Gore|Multiplayer|2D Fighter
2025-02-01,335,115,Fighting|Action|Gore|Multiplayer|2D Fighter
2025-03-01,671,214,Fighting|Action|Gore|Multiplayer|2D Fighter
2025-04-01,670,160,Fighting|Action|Gore|Multiplayer|2D Fighter
2025-05-01,460,173,Fighting|Action|Gore|Multiplayer|2D Fighter
2025-06-01,360,114,Fighting|Action|Gore|Multiplayer|2D Fighter
2025-07-01,416,127,Fighting|Action|Gore|Multiplayer|2D Fighter
2025-08-01,432,107,Fighting|Action|Gore|Multiplayer|2D Fighter
2025-09-01,180,65,Fighting|Action|Gore|Multiplayer|2D Fighter
2025-10-01,775,209,Fighting|Action|Gore|Multiplayer|2D Fighter
2025-11-01,682,145,Fighting|Action|Gore|Multiplayer|2D Fighter
2025-12-01,950,207,Fighting|Action|Gore|Multiplayer|2D Fighter
2026-01-01,590,134,Fighting|Action|Gore|Multiplayer|2D Fighter
2026-02-01,648,160,Fighting|Action|Gore|Multiplayer|2D Fighter
2026-03-01,438,104,Fighting|Action|Gore|Multiplayer|2D Fighter
2026-04-01,160,42,Fighting|Action|Gore|Multiplayer|2D Fighter
