Date,Positive_Reviews,Negative_Reviews,Top_Tags
2020-09-01,4702,93,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2020-10-01,55869,1617,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2020-11-01,71083,1098,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2020-12-01,25542,726,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2021-01-01,20001,565,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2021-02-01,11402,360,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2021-03-01,11053,393,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2021-04-01,8976,314,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2021-05-01,8808,308,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2021-06-01,10153,375,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2021-07-01,10227,410,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2021-08-01,13053,551,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2021-09-01,13659,509,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2021-10-01,11554,443,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2021-11-01,13628,452,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2021-12-01,13041,494,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2022-01-01,14016,508,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2022-02-01,8469,297,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2022-03-01,6757,240,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2022-04-01,9683,516,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2022-05-01,7463,281,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2022-06-01,10150,367,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2022-07-01,10732,424,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2022-08-01,8579,364,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2022-09-01,7705,451,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2022-10-01,9200,667,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2022-11-01,11203,345,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2022-12-01,8824,462,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2023-01-01,10531,494,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2023-02-01,6620,330,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2023-03-01,7477,368,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2023-04-01,6945,336,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2023-05-01,5717,270,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2023-06-01,6481,322,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2023-07-01,9187,430,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2023-08-01,14724,2299,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2023-09-01,8565,815,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2023-10-01,8780,722,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2023-11-01,12543,613,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2023-12-01,8501,467,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2024-01-01,9760,566,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2024-02-01,6573,370,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2024-03-01,6167,390,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2024-04-01,5269,291,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2024-05-01,4619,304,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2024-06-01,6337,394,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2024-07-01,8775,560,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2024-08-01,8343,545,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2024-09-01,5047,345,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2024-10-01,5453,476,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2024-11-01,10189,497,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2024-12-01,8429,478,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2025-01-01,7897,429,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2025-02-01,6686,372,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2025-03-01,6844,391,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2025-04-01,4010,256,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2025-05-01,3531,255,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2025-06-01,5078,425,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2025-07-01,5224,339,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2025-08-01,4520,315,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2025-09-01,3085,244,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2025-10-01,4267,447,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2025-11-01,6789,395,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2025-12-01,4562,336,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2026-01-01,4574,325,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2026-02-01,3356,205,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
2026-03-01,4153,290,Horror|Online Co-Op|Multiplayer|Psychological Horror|Co-op
