Date,Positive_Reviews,Negative_Reviews,Top_Tags
2019-12-01,20637,8857,Open World|Story Rich|Western|Adventure|Multiplayer
2020-01-01,10769,3003,Open World|Story Rich|Western|Adventure|Multiplayer
2020-02-01,9062,2467,Open World|Story Rich|Western|Adventure|Multiplayer
2020-03-01,6202,978,Open World|Story Rich|Western|Adventure|Multiplayer
2020-04-01,4834,656,Open World|Story Rich|Western|Adventure|Multiplayer
2020-05-01,5878,1060,Open World|Story Rich|Western|Adventure|Multiplayer
2020-06-01,4511,574,Open World|Story Rich|Western|Adventure|Multiplayer
2020-07-01,5882,694,Open World|Story Rich|Western|Adventure|Multiplayer
2020-08-01,5832,802,Open World|Story Rich|Western|Adventure|Multiplayer
2020-09-01,3786,441,Open World|Story Rich|Western|Adventure|Multiplayer
2020-10-01,5710,639,Open World|Story Rich|Western|Adventure|Multiplayer
2020-11-01,19217,655,Open World|Story Rich|Western|Adventure|Multiplayer
2020-12-01,7943,757,Open World|Story Rich|Western|Adventure|Multiplayer
2021-01-01,7576,762,Open World|Story Rich|Western|Adventure|Multiplayer
2021-02-01,5742,444,Open World|Story Rich|Western|Adventure|Multiplayer
2021-03-01,5124,422,Open World|Story Rich|Western|Adventure|Multiplayer
2021-04-01,4407,306,Open World|Story Rich|Western|Adventure|Multiplayer
2021-05-01,4786,329,Open World|Story Rich|Western|Adventure|Multiplayer
2021-06-01,4654,409,Open World|Story Rich|Western|Adventure|Multiplayer
2021-07-01,7113,681,Open World|Story Rich|Western|Adventure|Multiplayer
2021-08-01,5443,368,Open World|Story Rich|Western|Adventure|Multiplayer
2021-09-01,5584,481,Open World|Story Rich|Western|Adventure|Multiplayer
2021-10-01,4230,297,Open World|Story Rich|Western|Adventure|Multiplayer
2021-11-01,9091,1021,Open World|Story Rich|Western|Adventure|Multiplayer
2021-12-01,9572,956,Open World|Story Rich|Western|Adventure|Multiplayer
2022-01-01,9902,871,Open World|Story Rich|Western|Adventure|Multiplayer
2022-02-01,6509,486,Open World|Story Rich|Western|Adventure|Multiplayer
2022-03-01,6067,608,Open World|Story Rich|Western|Adventure|Multiplayer
2022-04-01,5571,465,Open World|Story Rich|Western|Adventure|Multiplayer
2022-05-01,5864,538,Open World|Story Rich|Western|Adventure|Multiplayer
2022-06-01,5544,473,Open World|Story Rich|Western|Adventure|Multiplayer
2022-07-01,7932,692,Open World|Story Rich|Western|Adventure|Multiplayer
2022-08-01,6741,448,Open World|Story Rich|Western|Adventure|Multiplayer
2022-09-01,6610,523,Open World|Story Rich|Western|Adventure|Multiplayer
2022-10-01,6057,438,Open World|Story Rich|Western|Adventure|Multiplayer
2022-11-01,13347,775,Open World|Story Rich|Western|Adventure|Multiplayer
2022-12-01,17272,1521,Open World|Story Rich|Western|Adventure|Multiplayer
2023-01-01,18655,1466,Open World|Story Rich|Western|Adventure|Multiplayer
2023-02-01,13664,1059,Open World|Story Rich|Western|Adventure|Multiplayer
2023-03-01,11659,1015,Open World|Story Rich|Western|Adventure|Multiplayer
2023-04-01,9938,778,Open World|Story Rich|Western|Adventure|Multiplayer
2023-05-01,7685,576,Open World|Story Rich|Western|Adventure|Multiplayer
2023-06-01,9905,852,Open World|Story Rich|Western|Adventure|Multiplayer
2023-07-01,14574,1192,Open World|Story Rich|Western|Adventure|Multiplayer
2023-08-01,11214,882,Open World|Story Rich|Western|Adventure|Multiplayer
2023-09-01,11863,974,Open World|Story Rich|Western|Adventure|Multiplayer
2023-10-01,9326,720,Open World|Story Rich|Western|Adventure|Multiplayer
2023-11-01,22058,1064,Open World|Story Rich|Western|Adventure|Multiplayer
2023-12-01,17791,1585,Open World|Story Rich|Western|Adventure|Multiplayer
2024-01-01,14970,1427,Open World|Story Rich|Western|Adventure|Multiplayer
2024-02-01,12928,907,Open World|Story Rich|Western|Adventure|Multiplayer
2024-03-01,12356,900,Open World|Story Rich|Western|Adventure|Multiplayer
2024-04-01,10268,692,Open World|Story Rich|Western|Adventure|Multiplayer
2024-05-01,8178,592,Open World|Story Rich|Western|Adventure|Multiplayer
2024-06-01,10252,742,Open World|Story Rich|Western|Adventure|Multiplayer
2024-07-01,14328,1027,Open World|Story Rich|Western|Adventure|Multiplayer
2024-08-01,10308,676,Open World|Story Rich|Western|Adventure|Multiplayer
2024-09-01,10017,753,Open World|Story Rich|Western|Adventure|Multiplayer
2024-10-01,7833,521,Open World|Story Rich|Western|Adventure|Multiplayer
2024-11-01,8419,624,Open World|Story Rich|Western|Adventure|Multiplayer
2024-12-01,14180,944,Open World|Story Rich|Western|Adventure|Multiplayer
2025-01-01,15640,1269,Open World|Story Rich|Western|Adventure|Multiplayer
2025-02-01,17784,1050,Open World|Story Rich|Western|Adventure|Multiplayer
2025-03-01,13378,822,Open World|Story Rich|Western|Adventure|Multiplayer
2025-04-01,12744,842,Open World|Story Rich|Western|Adventure|Multiplayer
2025-05-01,11464,769,Open World|Story Rich|Western|Adventure|Multiplayer
2025-06-01,11195,3853,Open World|Story Rich|Western|Adventure|Multiplayer
2025-07-01,15250,1177,Open World|Story Rich|Western|Adventure|Multiplayer
2025-08-01,9613,679,Open World|Story Rich|Western|Adventure|Multiplayer
2025-09-01,9365,677,Open World|Story Rich|Western|Adventure|Multiplayer
2025-10-01,11313,747,Open World|Story Rich|Western|Adventure|Multiplayer
2025-11-01,11960,868,Open World|Story Rich|Western|Adventure|Multiplayer
2025-12-01,13331,930,Open World|Story Rich|Western|Adventure|Multiplayer
2026-01-01,14435,853,Open World|Story Rich|Western|Adventure|Multiplayer
2026-02-01,11456,587,Open World|Story Rich|Western|Adventure|Multiplayer
2026-03-01,10514,642,Open World|Story Rich|Western|Adventure|Multiplayer
2026-04-01,6876,478,Open World|Story Rich|Western|Adventure|Multiplayer
