Date,Price
2024-04-25,3199
2024-05-27,1279
2024-06-10,3199
2024-06-27,1055
2024-07-11,3199
2024-07-15,1055
2024-07-29,3199
2024-08-29,1279
2024-09-12,3199
2024-10-03,4999
2024-10-21,1819
2024-11-04,4999
2024-11-27,1559
2024-12-05,4999
2024-12-05,1559
2025-01-03,4999
2025-01-23,1039
2025-02-06,4999
2025-03-13,1249
2025-03-20,4999
2025-04-03,1249
2025-04-17,4999
2025-05-19,1249
2025-06-02,4999
2025-06-13,3608
2025-06-19,2984
2025-06-20,4999
2025-06-26,1249
2025-06-27,1249
2025-07-24,4999
2025-08-25,1249
2025-09-08,4999
2025-09-29,1249
2025-10-06,4999
2025-10-08,3608
2025-10-08,1249
2025-10-20,4999
2025-10-30,1539
2025-11-13,4999
2025-11-20,1249
2025-12-04,4999
2025-12-15,1539
2025-12-23,1249
2026-01-05,4999
2026-01-22,1249
2026-02-05,4999
2026-03-19,1249
2026-04-09,4999
2026-04-16,4999
