Date,Positive_Reviews,Negative_Reviews,Top_Tags
2023-06-01,8848,1068,2D Fighter|Fighting|Character Customization|Arcade|Action
2023-07-01,2521,390,2D Fighter|Fighting|Character Customization|Arcade|Action
2023-08-01,1351,287,2D Fighter|Fighting|Character Customization|Arcade|Action
2023-09-01,1053,178,2D Fighter|Fighting|Character Customization|Arcade|Action
2023-10-01,733,134,2D Fighter|Fighting|Character Customization|Arcade|Action
2023-11-01,2499,174,2D Fighter|Fighting|Character Customization|Arcade|Action
2023-12-01,1159,419,2D Fighter|Fighting|Character Customization|Arcade|Action
2024-01-01,839,345,2D Fighter|Fighting|Character Customization|Arcade|Action
2024-02-01,600,134,2D Fighter|Fighting|Character Customization|Arcade|Action
2024-03-01,925,179,2D Fighter|Fighting|Character Customization|Arcade|Action
2024-04-01,571,161,2D Fighter|Fighting|Character Customization|Arcade|Action
2024-05-01,782,251,2D Fighter|Fighting|Character Customization|Arcade|Action
2024-06-01,1529,364,2D Fighter|Fighting|Character Customization|Arcade|Action
2024-07-01,1162,311,2D Fighter|Fighting|Character Customization|Arcade|Action
2024-08-01,758,152,2D Fighter|Fighting|Character Customization|Arcade|Action
2024-09-01,850,192,2D Fighter|Fighting|Character Customization|Arcade|Action
2024-10-01,605,166,2D Fighter|Fighting|Character Customization|Arcade|Action
2024-11-01,654,184,2D Fighter|Fighting|Character Customization|Arcade|Action
2024-12-01,719,195,2D Fighter|Fighting|Character Customization|Arcade|Action
2025-01-01,520,152,2D Fighter|Fighting|Character Customization|Arcade|Action
2025-02-01,756,212,2D Fighter|Fighting|Character Customization|Arcade|Action
2025-03-01,637,193,2D Fighter|Fighting|Character Customization|Arcade|Action
2025-04-01,490,162,2D Fighter|Fighting|Character Customization|Arcade|Action
2025-05-01,522,191,2D Fighter|Fighting|Character Customization|Arcade|Action
2025-06-01,746,248,2D Fighter|Fighting|Character Customization|Arcade|Action
2025-07-01,628,221,2D Fighter|Fighting|Character Customization|Arcade|Action
2025-08-01,1216,294,2D Fighter|Fighting|Character Customization|Arcade|Action
2025-09-01,918,270,2D Fighter|Fighting|Character Customization|Arcade|Action
2025-10-01,925,250,2D Fighter|Fighting|Character Customization|Arcade|Action
2025-11-01,866,215,2D Fighter|Fighting|Character Customization|Arcade|Action
2025-12-01,908,254,2D Fighter|Fighting|Character Customization|Arcade|Action
2026-01-01,713,204,2D Fighter|Fighting|Character Customization|Arcade|Action
2026-02-01,610,192,2D Fighter|Fighting|Character Customization|Arcade|Action
2026-03-01,563,327,2D Fighter|Fighting|Character Customization|Arcade|Action
2026-04-01,259,83,2D Fighter|Fighting|Character Customization|Arcade|Action
