Date,Positive_Reviews,Negative_Reviews,Top_Tags
2014-03-01,0,0,Open World Survival Craft|Survival|Horror|Open World|Underwater
2014-12-01,62,3,Open World Survival Craft|Survival|Horror|Open World|Underwater
2015-01-01,81,2,Open World Survival Craft|Survival|Horror|Open World|Underwater
2015-02-01,132,3,Open World Survival Craft|Survival|Horror|Open World|Underwater
2015-03-01,414,18,Open World Survival Craft|Survival|Horror|Open World|Underwater
2015-04-01,619,32,Open World Survival Craft|Survival|Horror|Open World|Underwater
2015-05-01,575,26,Open World Survival Craft|Survival|Horror|Open World|Underwater
2015-06-01,498,18,Open World Survival Craft|Survival|Horror|Open World|Underwater
2015-07-01,467,14,Open World Survival Craft|Survival|Horror|Open World|Underwater
2015-08-01,710,30,Open World Survival Craft|Survival|Horror|Open World|Underwater
2015-09-01,355,21,Open World Survival Craft|Survival|Horror|Open World|Underwater
2015-10-01,251,20,Open World Survival Craft|Survival|Horror|Open World|Underwater
2015-11-01,336,18,Open World Survival Craft|Survival|Horror|Open World|Underwater
2015-12-01,512,46,Open World Survival Craft|Survival|Horror|Open World|Underwater
2016-01-01,1279,84,Open World Survival Craft|Survival|Horror|Open World|Underwater
2016-02-01,1038,64,Open World Survival Craft|Survival|Horror|Open World|Underwater
2016-03-01,1408,139,Open World Survival Craft|Survival|Horror|Open World|Underwater
2016-04-01,983,74,Open World Survival Craft|Survival|Horror|Open World|Underwater
2016-05-01,946,69,Open World Survival Craft|Survival|Horror|Open World|Underwater
2016-06-01,1396,78,Open World Survival Craft|Survival|Horror|Open World|Underwater
2016-07-01,1460,95,Open World Survival Craft|Survival|Horror|Open World|Underwater
2016-08-01,1202,53,Open World Survival Craft|Survival|Horror|Open World|Underwater
2016-09-01,767,52,Open World Survival Craft|Survival|Horror|Open World|Underwater
2016-10-01,671,39,Open World Survival Craft|Survival|Horror|Open World|Underwater
2016-11-01,2186,111,Open World Survival Craft|Survival|Horror|Open World|Underwater
2016-12-01,1545,183,Open World Survival Craft|Survival|Horror|Open World|Underwater
2017-01-01,1875,199,Open World Survival Craft|Survival|Horror|Open World|Underwater
2017-02-01,1148,125,Open World Survival Craft|Survival|Horror|Open World|Underwater
2017-03-01,947,68,Open World Survival Craft|Survival|Horror|Open World|Underwater
2017-04-01,1534,98,Open World Survival Craft|Survival|Horror|Open World|Underwater
2017-05-01,1165,55,Open World Survival Craft|Survival|Horror|Open World|Underwater
2017-06-01,1399,69,Open World Survival Craft|Survival|Horror|Open World|Underwater
2017-07-01,1568,85,Open World Survival Craft|Survival|Horror|Open World|Underwater
2017-08-01,1114,49,Open World Survival Craft|Survival|Horror|Open World|Underwater
2017-09-01,846,39,Open World Survival Craft|Survival|Horror|Open World|Underwater
2017-10-01,838,47,Open World Survival Craft|Survival|Horror|Open World|Underwater
2017-11-01,2253,22,Open World Survival Craft|Survival|Horror|Open World|Underwater
2017-12-01,1213,49,Open World Survival Craft|Survival|Horror|Open World|Underwater
2018-01-01,8175,263,Open World Survival Craft|Survival|Horror|Open World|Underwater
2018-02-01,6649,873,Open World Survival Craft|Survival|Horror|Open World|Underwater
2018-03-01,2950,133,Open World Survival Craft|Survival|Horror|Open World|Underwater
2018-04-01,1686,64,Open World Survival Craft|Survival|Horror|Open World|Underwater
2018-05-01,1306,72,Open World Survival Craft|Survival|Horror|Open World|Underwater
2018-06-01,2741,130,Open World Survival Craft|Survival|Horror|Open World|Underwater
2018-07-01,1792,68,Open World Survival Craft|Survival|Horror|Open World|Underwater
2018-08-01,1249,40,Open World Survival Craft|Survival|Horror|Open World|Underwater
2018-09-01,1104,45,Open World Survival Craft|Survival|Horror|Open World|Underwater
2018-10-01,1053,43,Open World Survival Craft|Survival|Horror|Open World|Underwater
