Date,Positive_Reviews,Negative_Reviews,Top_Tags
2023-03-01,4429,6729,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2023-04-01,4747,2716,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2023-05-01,1019,356,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2023-06-01,758,157,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2023-07-01,751,107,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2023-08-01,566,70,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2023-09-01,751,101,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2023-10-01,568,89,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2023-11-01,1987,133,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2023-12-01,1271,155,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2024-01-01,1112,104,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2024-02-01,845,90,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2024-03-01,781,94,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2024-04-01,496,42,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2024-05-01,437,74,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2024-06-01,405,93,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2024-07-01,903,105,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2024-08-01,521,39,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2024-09-01,1338,163,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2024-10-01,811,80,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2024-11-01,1392,126,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2024-12-01,2264,194,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2025-01-01,1957,121,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2025-02-01,845,50,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2025-03-01,1765,131,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2025-04-01,1674,75,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2025-05-01,1635,112,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2025-06-01,2395,171,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2025-07-01,1894,140,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2025-08-01,1033,83,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2025-09-01,1055,74,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2025-10-01,1034,53,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2025-11-01,976,66,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2025-12-01,1598,81,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2026-01-01,1490,68,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2026-02-01,1561,80,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2026-03-01,1478,70,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
2026-04-01,583,28,Story Rich|Post-apocalyptic|Zombies|Shooter|Action-Adventure
