Date,Positive_Reviews,Negative_Reviews,Top_Tags
2015-12-01,3270,987,FPS|PvP|Multiplayer|Tactical|e-sports
2016-01-01,2456,785,FPS|PvP|Multiplayer|Tactical|e-sports
2016-02-01,1786,521,FPS|PvP|Multiplayer|Tactical|e-sports
2016-03-01,1200,333,FPS|PvP|Multiplayer|Tactical|e-sports
2016-04-01,2279,631,FPS|PvP|Multiplayer|Tactical|e-sports
2016-05-01,1207,295,FPS|PvP|Multiplayer|Tactical|e-sports
2016-06-01,2195,560,FPS|PvP|Multiplayer|Tactical|e-sports
2016-07-01,2388,743,FPS|PvP|Multiplayer|Tactical|e-sports
2016-08-01,2784,578,FPS|PvP|Multiplayer|Tactical|e-sports
2016-09-01,1212,253,FPS|PvP|Multiplayer|Tactical|e-sports
2016-10-01,1575,350,FPS|PvP|Multiplayer|Tactical|e-sports
2016-11-01,10593,1180,FPS|PvP|Multiplayer|Tactical|e-sports
2016-12-01,3202,647,FPS|PvP|Multiplayer|Tactical|e-sports
2017-01-01,3040,646,FPS|PvP|Multiplayer|Tactical|e-sports
2017-02-01,6114,1451,FPS|PvP|Multiplayer|Tactical|e-sports
2017-03-01,4496,847,FPS|PvP|Multiplayer|Tactical|e-sports
2017-04-01,3406,709,FPS|PvP|Multiplayer|Tactical|e-sports
2017-05-01,3450,681,FPS|PvP|Multiplayer|Tactical|e-sports
2017-06-01,4262,831,FPS|PvP|Multiplayer|Tactical|e-sports
2017-07-01,4185,905,FPS|PvP|Multiplayer|Tactical|e-sports
2017-08-01,5559,1287,FPS|PvP|Multiplayer|Tactical|e-sports
2017-09-01,5190,1589,FPS|PvP|Multiplayer|Tactical|e-sports
2017-10-01,4113,813,FPS|PvP|Multiplayer|Tactical|e-sports
2017-11-01,27317,2652,FPS|PvP|Multiplayer|Tactical|e-sports
2017-12-01,8940,1618,FPS|PvP|Multiplayer|Tactical|e-sports
2018-01-01,7784,1381,FPS|PvP|Multiplayer|Tactical|e-sports
2018-02-01,8547,1434,FPS|PvP|Multiplayer|Tactical|e-sports
2018-03-01,9086,6285,FPS|PvP|Multiplayer|Tactical|e-sports
2018-04-01,4642,1250,FPS|PvP|Multiplayer|Tactical|e-sports
2018-05-01,7499,3455,FPS|PvP|Multiplayer|Tactical|e-sports
2018-06-01,5827,1469,FPS|PvP|Multiplayer|Tactical|e-sports
2018-07-01,5324,1889,FPS|PvP|Multiplayer|Tactical|e-sports
2018-08-01,8218,1881,FPS|PvP|Multiplayer|Tactical|e-sports
2018-09-01,4742,1363,FPS|PvP|Multiplayer|Tactical|e-sports
2018-10-01,3699,995,FPS|PvP|Multiplayer|Tactical|e-sports
2018-11-01,25724,4354,FPS|PvP|Multiplayer|Tactical|e-sports
2018-12-01,6495,1361,FPS|PvP|Multiplayer|Tactical|e-sports
2019-01-01,5377,1166,FPS|PvP|Multiplayer|Tactical|e-sports
2019-02-01,7441,1461,FPS|PvP|Multiplayer|Tactical|e-sports
2019-03-01,4791,1222,FPS|PvP|Multiplayer|Tactical|e-sports
2019-04-01,3420,751,FPS|PvP|Multiplayer|Tactical|e-sports
2019-05-01,3254,652,FPS|PvP|Multiplayer|Tactical|e-sports
2019-06-01,23021,1855,FPS|PvP|Multiplayer|Tactical|e-sports
2019-07-01,27168,1923,FPS|PvP|Multiplayer|Tactical|e-sports
2019-08-01,4217,978,FPS|PvP|Multiplayer|Tactical|e-sports
2019-09-01,4492,960,FPS|PvP|Multiplayer|Tactical|e-sports
2019-10-01,11901,1362,FPS|PvP|Multiplayer|Tactical|e-sports
2019-11-01,66341,4166,FPS|PvP|Multiplayer|Tactical|e-sports
2019-12-01,45809,3141,FPS|PvP|Multiplayer|Tactical|e-sports
2020-01-01,39460,2882,FPS|PvP|Multiplayer|Tactical|e-sports
2020-02-01,31291,2798,FPS|PvP|Multiplayer|Tactical|e-sports
2020-03-01,46697,4409,FPS|PvP|Multiplayer|Tactical|e-sports
2020-04-01,24554,3075,FPS|PvP|Multiplayer|Tactical|e-sports
2020-05-01,17800,2233,FPS|PvP|Multiplayer|Tactical|e-sports
2020-06-01,17939,2045,FPS|PvP|Multiplayer|Tactical|e-sports
2020-07-01,22135,2458,FPS|PvP|Multiplayer|Tactical|e-sports
2020-08-01,16090,1922,FPS|PvP|Multiplayer|Tactical|e-sports
2020-09-01,20449,2149,FPS|PvP|Multiplayer|Tactical|e-sports
2020-10-01,13630,1712,FPS|PvP|Multiplayer|Tactical|e-sports
2020-11-01,20022,1596,FPS|PvP|Multiplayer|Tactical|e-sports
2020-12-01,23389,2452,FPS|PvP|Multiplayer|Tactical|e-sports
2021-01-01,21920,2462,FPS|PvP|Multiplayer|Tactical|e-sports
2021-02-01,15695,1974,FPS|PvP|Multiplayer|Tactical|e-sports
2021-03-01,25549,3089,FPS|PvP|Multiplayer|Tactical|e-sports
2021-04-01,18665,2198,FPS|PvP|Multiplayer|Tactical|e-sports
2021-05-01,14605,2367,FPS|PvP|Multiplayer|Tactical|e-sports
2021-06-01,13948,2548,FPS|PvP|Multiplayer|Tactical|e-sports
2021-07-01,15136,2826,FPS|PvP|Multiplayer|Tactical|e-sports
2021-08-01,10684,2429,FPS|PvP|Multiplayer|Tactical|e-sports
2021-09-01,15492,2954,FPS|PvP|Multiplayer|Tactical|e-sports
2021-10-01,9073,1836,FPS|PvP|Multiplayer|Tactical|e-sports
2021-11-01,13132,1802,FPS|PvP|Multiplayer|Tactical|e-sports
2021-12-01,11568,2346,FPS|PvP|Multiplayer|Tactical|e-sports
2022-01-01,12570,2462,FPS|PvP|Multiplayer|Tactical|e-sports
2022-02-01,9943,1610,FPS|PvP|Multiplayer|Tactical|e-sports
2022-03-01,9076,1989,FPS|PvP|Multiplayer|Tactical|e-sports
2022-04-01,6177,1415,FPS|PvP|Multiplayer|Tactical|e-sports
2022-05-01,5708,1230,FPS|PvP|Multiplayer|Tactical|e-sports
2022-06-01,6759,1328,FPS|PvP|Multiplayer|Tactical|e-sports
2022-07-01,7762,1547,FPS|PvP|Multiplayer|Tactical|e-sports
2022-08-01,5659,1388,FPS|PvP|Multiplayer|Tactical|e-sports
2022-09-01,6407,1658,FPS|PvP|Multiplayer|Tactical|e-sports
2022-10-01,4571,1096,FPS|PvP|Multiplayer|Tactical|e-sports
2022-11-01,6324,1204,FPS|PvP|Multiplayer|Tactical|e-sports
2022-12-01,9452,2610,FPS|PvP|Multiplayer|Tactical|e-sports
2023-01-01,9384,2540,FPS|PvP|Multiplayer|Tactical|e-sports
2023-02-01,6052,1750,FPS|PvP|Multiplayer|Tactical|e-sports
2023-03-01,8746,2110,FPS|PvP|Multiplayer|Tactical|e-sports
2023-04-01,6652,1473,FPS|PvP|Multiplayer|Tactical|e-sports
2023-05-01,6472,1495,FPS|PvP|Multiplayer|Tactical|e-sports
2023-06-01,8589,2437,FPS|PvP|Multiplayer|Tactical|e-sports
2023-07-01,11687,2749,FPS|PvP|Multiplayer|Tactical|e-sports
2023-08-01,10736,2934,FPS|PvP|Multiplayer|Tactical|e-sports
2023-09-01,10307,2931,FPS|PvP|Multiplayer|Tactical|e-sports
2023-10-01,9261,2445,FPS|PvP|Multiplayer|Tactical|e-sports
2023-11-01,8638,1777,FPS|PvP|Multiplayer|Tactical|e-sports
2023-12-01,8839,2761,FPS|PvP|Multiplayer|Tactical|e-sports
2024-01-01,11919,4292,FPS|PvP|Multiplayer|Tactical|e-sports
2024-02-01,11220,2963,FPS|PvP|Multiplayer|Tactical|e-sports
2024-03-01,20010,5853,FPS|PvP|Multiplayer|Tactical|e-sports
2024-04-01,13695,4215,FPS|PvP|Multiplayer|Tactical|e-sports
2024-05-01,9380,3046,FPS|PvP|Multiplayer|Tactical|e-sports
2024-06-01,8390,3253,FPS|PvP|Multiplayer|Tactical|e-sports
2024-07-01,9167,3169,FPS|PvP|Multiplayer|Tactical|e-sports
2024-08-01,6915,2509,FPS|PvP|Multiplayer|Tactical|e-sports
2024-09-01,7104,3010,FPS|PvP|Multiplayer|Tactical|e-sports
2024-10-01,5055,1971,FPS|PvP|Multiplayer|Tactical|e-sports
2024-11-01,6620,1667,FPS|PvP|Multiplayer|Tactical|e-sports
2024-12-01,10002,2795,FPS|PvP|Multiplayer|Tactical|e-sports
2025-01-01,9350,3265,FPS|PvP|Multiplayer|Tactical|e-sports
2025-02-01,7435,4317,FPS|PvP|Multiplayer|Tactical|e-sports
2025-03-01,13704,4237,FPS|PvP|Multiplayer|Tactical|e-sports
2025-04-01,7383,2324,FPS|PvP|Multiplayer|Tactical|e-sports
2025-05-01,6715,2378,FPS|PvP|Multiplayer|Tactical|e-sports
2025-06-01,13974,8647,FPS|PvP|Multiplayer|Tactical|e-sports
2025-07-01,10716,4499,FPS|PvP|Multiplayer|Tactical|e-sports
2025-08-01,8874,3425,FPS|PvP|Multiplayer|Tactical|e-sports
2025-09-01,6461,2730,FPS|PvP|Multiplayer|Tactical|e-sports
2025-10-01,4832,2184,FPS|PvP|Multiplayer|Tactical|e-sports
2025-11-01,6111,2060,FPS|PvP|Multiplayer|Tactical|e-sports
2025-12-01,6683,2776,FPS|PvP|Multiplayer|Tactical|e-sports
2026-01-01,8422,2859,FPS|PvP|Multiplayer|Tactical|e-sports
2026-02-01,8200,2522,FPS|PvP|Multiplayer|Tactical|e-sports
2026-03-01,11016,3791,FPS|PvP|Multiplayer|Tactical|e-sports
2026-04-01,5126,1593,FPS|PvP|Multiplayer|Tactical|e-sports
