Date,Positive_Reviews,Negative_Reviews,Top_Tags
2021-02-01,105507,3463,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2021-03-01,68063,2349,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2021-04-01,20069,931,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2021-05-01,9793,656,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2021-06-01,6135,566,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2021-07-01,5623,553,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2021-08-01,4734,451,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2021-09-01,7934,898,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2021-10-01,4889,410,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2021-11-01,26370,525,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2021-12-01,7314,482,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2022-01-01,7797,575,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2022-02-01,5333,436,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2022-03-01,3907,313,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2022-04-01,3248,245,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2022-05-01,3687,365,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2022-06-01,3204,341,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2022-07-01,3278,447,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2022-08-01,2580,420,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2022-09-01,2381,338,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2022-10-01,2351,321,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2022-11-01,6075,407,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2022-12-01,7972,867,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2023-01-01,6404,700,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2023-02-01,3931,398,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2023-03-01,4199,398,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2023-04-01,3371,319,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2023-05-01,2447,217,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2023-06-01,2294,210,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2023-07-01,3381,335,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2023-08-01,2444,259,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2023-09-01,2508,247,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2023-10-01,2462,252,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2023-11-01,5743,271,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2023-12-01,4047,409,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2024-01-01,4148,464,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2024-02-01,2630,320,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2024-03-01,3176,360,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2024-04-01,2592,235,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2024-05-01,4401,658,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2024-06-01,3132,599,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2024-07-01,3250,480,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2024-08-01,2177,348,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2024-09-01,1911,220,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2024-10-01,2408,254,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2024-11-01,5741,302,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2024-12-01,4352,371,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2025-01-01,3192,393,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2025-02-01,2914,307,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2025-03-01,3474,383,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2025-04-01,2686,316,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2025-05-01,2139,293,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2025-06-01,1823,228,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2025-07-01,1899,280,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2025-08-01,1902,216,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2025-09-01,2487,324,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2025-10-01,2439,315,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2025-11-01,4702,232,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2025-12-01,2178,239,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2026-01-01,2634,356,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2026-02-01,2222,384,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2026-03-01,2605,352,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
2026-04-01,944,116,Open World Survival Craft|Survival|Online Co-Op|Open World|Multiplayer
