Date,Price
2024-04-17,2999
2024-04-18,1499
2024-05-02,2999
2024-05-07,2248
2024-05-07,2999
2024-05-08,2248
2024-05-09,2999
2024-05-09,1633
2024-05-19,1948
2024-05-20,2999
2024-05-22,1596
2024-05-31,2488
2024-06-17,2999
2024-06-25,1199
2024-07-15,2999
2024-08-07,1716
2024-08-12,1438
2024-08-19,1199
2024-09-01,2902
2024-09-02,2999
2024-10-23,1199
2024-11-06,1399
2024-11-11,2999
2024-11-27,1199
2024-12-04,2999
2024-12-06,1199
2025-01-03,2999
2025-01-27,989
2025-02-10,1154
2025-02-13,1319
2025-03-04,2999
2025-03-13,989
2025-03-20,1154
2025-04-03,2999
2025-04-14,989
2025-04-28,1319
2025-05-05,2999
2025-05-26,1154
2025-06-05,989
2025-06-19,1319
2025-06-24,2999
2025-06-26,990
2025-06-27,990
2025-07-10,2999
2025-08-04,1154
2025-08-11,2999
2025-08-19,989
2025-09-02,2999
2025-09-10,1154
2025-09-18,2999
2025-09-29,989
2025-10-06,2999
2025-10-23,989
2025-11-06,2999
2025-12-08,899
2026-01-05,2999
2026-02-05,899
2026-02-19,2999
2026-03-19,749
2026-03-26,2999
2026-04-02,749
2026-04-14,2999
2026-04-16,2999
