Date,Price
2024-05-20,599
2024-06-03,2999
2024-06-27,599
2024-07-11,2599
2024-09-12,519
2024-09-22,2599
2024-10-24,519
2024-11-04,2599
2024-11-27,389
2024-12-05,2599
2024-12-20,389
2025-01-03,2599
2025-02-17,519
2025-02-26,2599
2025-03-13,519
2025-03-20,2599
2025-06-02,519
2025-06-09,2599
2025-06-27,519
2025-07-17,2599
2025-09-29,519
2025-10-06,2599
2025-10-16,519
2025-10-23,2599
2025-11-24,519
2025-12-08,2599
2025-12-18,519
2026-01-05,2599
2026-01-22,389
2026-01-29,2599
2026-03-05,389
2026-03-13,2599
2026-03-19,389
2026-03-26,2599
2026-04-16,2599
