Date,Price
2024-04-19,699
2024-05-09,349
2024-05-23,699
2024-05-23,431
2024-05-31,699
2024-06-27,279
2024-07-11,699
2024-07-11,431
2024-07-20,699
2024-08-08,279
2024-08-15,699
2024-09-16,279
2024-09-23,699
2024-10-18,431
2024-10-21,699
2024-10-28,279
2024-11-11,699
2024-11-27,279
2024-12-05,699
2024-12-20,279
2025-01-03,699
2025-02-21,349
2025-02-28,699
2025-03-13,279
2025-03-20,699
2025-04-08,279
2025-04-15,699
2025-05-29,279
2025-06-09,699
2025-06-27,279
2025-07-10,699
2025-09-18,279
2025-09-26,699
2025-09-29,279
2025-10-06,699
2025-10-27,279
2025-11-03,699
2025-12-08,209
2025-12-15,699
2025-12-18,279
2026-01-05,699
2026-01-31,279
2026-02-13,699
2026-03-19,279
2026-03-26,699
2026-04-16,699
