Date,Price
2024-04-22,2249
2024-05-02,4499
2024-06-03,1799
2024-06-10,4499
2024-06-27,1799
2024-07-11,4499
2024-07-15,1799
2024-07-29,4499
2024-08-15,2799
2024-10-24,1399
2024-11-04,2799
2024-11-28,1119
2024-12-05,2799
2024-12-20,1119
2025-01-03,2799
2025-01-21,1999
2025-01-31,2799
2025-02-10,1119
2025-02-17,2799
2025-03-13,923
2025-03-20,2799
2025-03-24,923
2025-04-07,2799
2025-05-07,923
2025-05-13,2799
2025-06-19,923
2025-06-27,923
2025-07-10,2799
2025-07-31,923
2025-08-13,2799
2025-09-29,923
2025-10-06,2799
2025-10-16,699
2025-10-23,2799
2025-11-24,559
2025-12-08,2799
2025-12-18,559
2026-01-05,2799
2026-02-09,559
2026-02-16,2799
2026-03-19,559
2026-03-26,2799
2026-04-16,2799
