Date,Price
2024-04-22,1049
2024-05-23,629
2024-06-03,1049
2024-06-27,629
2024-07-11,1049
2024-07-11,629
2024-07-20,1049
2024-10-28,629
2024-11-04,1049
2024-11-27,629
2024-12-04,1049
2024-12-05,629
2025-01-03,1049
2025-01-18,629
2025-01-25,1049
2025-02-24,629
2025-03-03,1049
2025-03-13,629
2025-03-20,1049
2025-04-12,629
2025-04-26,1049
2025-05-29,692
2025-06-05,1049
2025-06-26,629
2025-06-27,629
2025-07-24,1049
2025-08-23,629
2025-09-06,1049
2025-09-29,629
2025-10-20,1049
2025-11-19,629
2025-12-03,1049
2025-12-18,629
2026-01-19,1049
2026-02-22,524
2026-03-07,1049
2026-03-19,629
2026-03-26,1049
2026-04-06,629
2026-04-16,629
