Date,Price
2024-06-27,329
2024-07-11,439
2024-08-08,351
2024-08-15,439
2024-09-06,880
2024-10-28,660
2024-11-04,880
2024-11-27,704
2024-12-04,880
2024-12-12,704
2024-12-18,880
2024-12-20,660
2025-01-03,880
2025-02-24,660
2025-03-03,880
2025-03-13,660
2025-03-20,880
2025-06-06,660
2025-06-12,880
2025-06-26,660
2025-06-27,660
2025-07-10,880
2025-08-07,660
2025-08-14,880
2025-09-29,660
2025-10-06,880
2025-10-27,660
2025-11-03,880
2025-12-04,616
2026-01-05,880
2026-01-17,616
2026-01-31,880
2026-02-12,899
2026-03-19,629
2026-03-28,899
2026-04-16,899
