Date,Price
2024-04-29,3999
2024-06-03,1999
2024-06-17,3999
2024-06-27,1999
2024-07-11,3999
2024-07-17,1999
2024-07-31,3999
2024-09-16,1999
2024-09-29,3999
2024-10-29,1999
2024-11-12,3999
2024-11-27,1999
2024-12-05,3999
2024-12-12,1999
2025-01-03,3999
2025-01-27,1999
2025-02-10,3999
2025-03-12,1999
2025-03-24,3999
2025-04-24,2499
2025-06-27,2499
2025-08-11,1874
2025-08-24,2499
2025-09-23,1249
2025-10-06,2499
2025-10-29,1249
2025-11-11,2499
2025-12-11,1249
2026-01-06,2499
2026-02-09,1249
2026-02-23,2499
2026-04-16,2499
