Date,Price
2024-05-23,359
2024-05-30,1799
2024-06-27,593
2024-07-11,1799
2024-08-08,449
2024-08-21,1799
2024-11-27,449
2024-12-04,1799
2024-12-20,449
2025-01-03,1799
2025-01-16,179
2025-01-20,1799
2025-03-13,449
2025-03-20,1799
2025-05-29,449
2025-06-05,1799
2025-06-26,449
2025-06-27,449
2025-07-10,1799
2025-07-30,449
2025-08-13,1799
2025-09-29,449
2025-10-06,1799
2025-11-24,449
2025-12-02,1799
2025-12-18,449
2026-01-05,1799
2026-02-13,449
2026-02-23,1799
2026-03-19,449
2026-03-26,1799
2026-04-16,1799
